SAMPLE_ID	GRP	SAMPLE_POINT
YOY-2_T3-106	YOY-2	T3
YOY-2_T3-107	YOY-2	T3
YOY-2_T3-108	YOY-2	T3
YOY-2_T2-073	YOY-2	T2
YOY-2_T2-075	YOY-2	T2
YOY-2_T2-076	YOY-2	T2
YOY-2_T2-077	YOY-2	T2
YOY-2_T2-078	YOY-2	T2
YOY-2_T2-080	YOY-2	T2
YOY-2_T2-081	YOY-2	T2
YOY-2_T3-050	YOY-2	T3
YOY-2_T3-051	YOY-2	T3
YOY-2_T3-052	YOY-2	T3
YOY-2_T3-053	YOY-2	T3
YOY-2_T3-060	YOY-2	T3
YOY-2_T3-113	YOY-2	T3
YOY-2_T3-116	YOY-2	T3
YOY-2_T3-122	YOY-2	T3
YOY-2_T3-123	YOY-2	T3
YOY-2_T3-124	YOY-2	T3
YOY-2_T1-093	YOY-2	T1
YOY-2_T2-097	YOY-2	T2
YOY-2_T2-098	YOY-2	T2
YOY-2_T2-099	YOY-2	T2
YOY-2_T2-100	YOY-2	T2
YOY-2_T2-101	YOY-2	T2
YOY-2_T2-102	YOY-2	T2
YOY-2_T2-103	YOY-2	T2
YOY-2_T2-105	YOY-2	T2
YOY-2_T2-106	YOY-2	T2
YOY-2_T2-107	YOY-2	T2
YOY-2_T2-108	YOY-2	T2
YOY-2_T3-073	YOY-2	T3
YOY-2_T3-074	YOY-2	T3
YOY-2_T3-075	YOY-2	T3
YOY-2_T3-076	YOY-2	T3
YOY-2_T3-079	YOY-2	T3
YOY-2_T3-080	YOY-2	T3
YOY-2_T3-081	YOY-2	T3
YOY-2_T3-082	YOY-2	T3
YOY-2_T3-083	YOY-2	T3
YOY-2_T3-084	YOY-2	T3
YOY-2_T1-001	YOY-2	T1
YOY-2_T1-002	YOY-2	T1
YOY-2_T1-003	YOY-2	T1
YOY-2_T1-004	YOY-2	T1
YOY-2_T1-005	YOY-2	T1
YOY-2_T1-006	YOY-2	T1
YOY-2_T1-007	YOY-2	T1
YOY-2_T1-008	YOY-2	T1
YOY-2_T1-009	YOY-2	T1
YOY-2_T1-010	YOY-2	T1
YOY-2_T1-011	YOY-2	T1
YOY-2_T1-012	YOY-2	T1
YOY-2_T2-001	YOY-2	T2
YOY-2_T2-003	YOY-2	T2
YOY-2_T2-004	YOY-2	T2
YOY-2_T2-007	YOY-2	T2
YOY-2_T3-001	YOY-2	T3
YOY-2_T3-002	YOY-2	T3
YOY-2_T3-003	YOY-2	T3
YOY-2_T3-004	YOY-2	T3
YOY-2_T3-005	YOY-2	T3
YOY-2_T3-006	YOY-2	T3
YOY-2_T3-007	YOY-2	T3
YOY-2_T3-008	YOY-2	T3
YOY-2_T3-009	YOY-2	T3
YOY-2_T3-010	YOY-2	T3
YOY-2_T3-011	YOY-2	T3
YOY-2_T3-012	YOY-2	T3
YOY-2_T1-125	YOY-2	T1
YOY-2_T1-126	YOY-2	T1
YOY-2_T1-127	YOY-2	T1
YOY-2_T1-128	YOY-2	T1
YOY-2_T1-129	YOY-2	T1
YOY-2_T1-013	YOY-2	T1
YOY-2_T1-014	YOY-2	T1
YOY-2_T1-015	YOY-2	T1
YOY-2_T1-016	YOY-2	T1
YOY-2_T1-017	YOY-2	T1
YOY-2_T1-018	YOY-2	T1
YOY-2_T1-019	YOY-2	T1
YOY-2_T1-020	YOY-2	T1
YOY-2_T1-021	YOY-2	T1
YOY-2_T1-022	YOY-2	T1
YOY-2_T1-023	YOY-2	T1
YOY-2_T1-024	YOY-2	T1
YOY-2_T1-025	YOY-2	T1
YOY-2_T1-026	YOY-2	T1
YOY-2_T1-027	YOY-2	T1
YOY-2_T1-028	YOY-2	T1
YOY-2_T1-029	YOY-2	T1
YOY-2_T1-030	YOY-2	T1
YOY-2_T1-031	YOY-2	T1
YOY-2_T2-014	YOY-2	T2
YOY-2_T2-016	YOY-2	T2
YOY-2_T1-032	YOY-2	T1
YOY-2_T1-033	YOY-2	T1
YOY-2_T1-034	YOY-2	T1
YOY-2_T1-035	YOY-2	T1
YOY-2_T1-036	YOY-2	T1
YOY-2_T1-037	YOY-2	T1
YOY-2_T1-038	YOY-2	T1
YOY-2_T1-039	YOY-2	T1
YOY-2_T1-040	YOY-2	T1
YOY-2_T1-041	YOY-2	T1
YOY-2_T1-042	YOY-2	T1
YOY-2_T1-043	YOY-2	T1
YOY-2_T1-045	YOY-2	T1
YOY-2_T1-046	YOY-2	T1
YOY-2_T1-047	YOY-2	T1
YOY-2_T1-048	YOY-2	T1
YOY-2_T1-049	YOY-2	T1
YOY-2_T1-050	YOY-2	T1
YOY-2_T1-051	YOY-2	T1
YOY-2_T1-052	YOY-2	T1
YOY-2_T1-053	YOY-2	T1
YOY-2_T1-054	YOY-2	T1
YOY-2_T1-055	YOY-2	T1
YOY-2_T1-056	YOY-2	T1
YOY-2_T2-027	YOY-2	T2
YOY-2_T2-028	YOY-2	T2
YOY-2_T2-032	YOY-2	T2
YOY-2_T2-033	YOY-2	T2
YOY-2_T2-034	YOY-2	T2
YOY-2_T2-035	YOY-2	T2
YOY-2_T2-036	YOY-2	T2
YOY-2_T1-089	YOY-2	T1
YOY-2_T1-090	YOY-2	T1
YOY-2_T1-091	YOY-2	T1
YOY-2_T1-092	YOY-2	T1
YOY-2_T1-093	YOY-2	T1
YOY-2_T1-094	YOY-2	T1
YOY-2_T1-095	YOY-2	T1
YOY-2_T1-096	YOY-2	T1
YOY-2_T1-097	YOY-2	T1
YOY-2_T1-098	YOY-2	T1
YOY-2_T1-099	YOY-2	T1
YOY-2_T1-100	YOY-2	T1
YOY-2_T3-013	YOY-2	T3
YOY-2_T3-014	YOY-2	T3
YOY-2_T3-015	YOY-2	T3
YOY-2_T3-016	YOY-2	T3
YOY-2_T3-017	YOY-2	T3
YOY-2_T3-018	YOY-2	T3
YOY-2_T3-019	YOY-2	T3
YOY-2_T3-020	YOY-2	T3
YOY-2_T3-021	YOY-2	T3
YOY-2_T3-022	YOY-2	T3
YOY-2_T3-023	YOY-2	T3
YOY-2_T3-024	YOY-2	T3
ADULT_7514	ADULT	NA
ADULT_5081	ADULT	NA
ADULT_6080	ADULT	NA
YOY-2_T3-090	YOY-2	T3
YOY-2_T3-091	YOY-2	T3
YOY-2_T3-093	YOY-2	T3
YOY-2_T3-094	YOY-2	T3
YOY-2_T3-096	YOY-2	T3
