SAMPLE_ID	GRP	SAMPLE_POINT
YOY1_T3-047	YOY-1	T3
YOY1_T3-048	YOY-1	T3
YOY1_T3-049	YOY-1	T3
YOY1_T3-050	YOY-1	T3
YOY1_T3-051	YOY-1	T3
YOY1_T3-052	YOY-1	T3
YOY1_T3-053	YOY-1	T3
YOY1_T3-054	YOY-1	T3
YOY1_T3-055	YOY-1	T3
YOY1_T3-056	YOY-1	T3
YOY1_T3-057	YOY-1	T3
YOY1_T3-058	YOY-1	T3
YOY1_T3-059	YOY-1	T3
YOY1_T3-060	YOY-1	T3
YOY1_T3-061	YOY-1	T3
YOY1_T3-062	YOY-1	T3
YOY1_T3-063	YOY-1	T3
YOY1_T3-064	YOY-1	T3
YOY1_T3-065	YOY-1	T3
ADULT_8141	ADULT	NA
ADULT_8155	ADULT	NA
ADULT_9436	ADULT	NA
ADULT_9923	ADULT	NA
YOY1_T3	YOY-1	T3
YOY1_T3	YOY-1	T3
YOY1_T3	YOY-1	T3
YOY1_T3	YOY-1	T3
YOY1_T1-086	YOY-1	T1
YOY1_T1-087	YOY-1	T1
YOY1_T1-088	YOY-1	T1
YOY1_T1-089	YOY-1	T1
YOY1_T1-090	YOY-1	T1
YOY1_T1-091	YOY-1	T1
YOY1_T1-092	YOY-1	T1
YOY1_T1-093	YOY-1	T1
YOY1_T1-094	YOY-1	T1
YOY1_T1-095	YOY-1	T1
YOY1_T1-096	YOY-1	T1
YOY1_T1-097	YOY-1	T1
YOY1_T1-098	YOY-1	T1
YOY1_T1-099	YOY-1	T1
YOY1_T1-100	YOY-1	T1
YOY1_T1-101	YOY-1	T1
YOY1_T2-077	YOY-1	T2
YOY1_T2-078	YOY-1	T2
YOY1_T2-079	YOY-1	T2
YOY1_T2-080	YOY-1	T2
YOY1_T2-081	YOY-1	T2
YOY1_T2-082	YOY-1	T2
YOY1_T2-083	YOY-1	T2
YOY1_T2-084	YOY-1	T2
YOY1_T2-085	YOY-1	T2
YOY1_T2-086	YOY-1	T2
YOY1_T2-087	YOY-1	T2
YOY1_T2-088	YOY-1	T2
YOY1_T2-089	YOY-1	T2
YOY1_T2-090	YOY-1	T2
YOY1_T2-091	YOY-1	T2
YOY1_T2-092	YOY-1	T2
YOY1_T2-093	YOY-1	T2
YOY1_T3-066	YOY-1	T3
YOY1_T3-067	YOY-1	T3
YOY1_T3-069	YOY-1	T3
YOY1_T3-070	YOY-1	T3
YOY1_T3-071	YOY-1	T3
YOY1_T3-072	YOY-1	T3
YOY1_T3-073	YOY-1	T3
YOY1_T3-074	YOY-1	T3
YOY1_T3-075	YOY-1	T3
YOY1_T3-076	YOY-1	T3
YOY1_T3-077	YOY-1	T3
YOY1_T3-078	YOY-1	T3
YOY1_T3-079	YOY-1	T3
YOY1_T3-080	YOY-1	T3
YOY1_T3-081	YOY-1	T3
YOY1_T3-082	YOY-1	T3
YOY1_T3-083	YOY-1	T3
YOY1_T3-084	YOY-1	T3
YOY1_T3-085	YOY-1	T3
YOY1_T3-086	YOY-1	T3
YOY1_T3-087	YOY-1	T3
YOY1_T3-088	YOY-1	T3
YOY1_T3-089	YOY-1	T3
YOY1_T3-090	YOY-1	T3
YOY1_T3-091	YOY-1	T3
YOY1_T3-092	YOY-1	T3
